Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,Normalized_Profile_URL,Source_Province_Search,Scraped_At
The Outpost,Thunder Bay,ON,P7B 5E1,"955 Oliver Road, Thunder Bay, ON P7B 5E1",N/A,https://lusu.ca/services-and-support/the-outpost/,"Night Club, Music Venue, Pub",All Genres,715,N/A,N/A,"""We are your friendly campus pub. Offering great food, amazing music, and a fantastic atmosphere to unwind after a long day of classes. With over 10,000 square feet of space, it’s one of the largest campus bars in Canada."" Shows can held any night of the week.",Requires Premium,https://www.facebook.com/TheOutpostCampusPub/,https://www.instagram.com/outpostpub/,N/A,https://www.indieonthemove.com/venues/the-outpost-thunder-bay-ontario,https://www.indieonthemove.com/venues/the-outpost-thunder-bay-ontario,,
UpFront Café,Belleville,ON,K8N 2Z9,"313 Front Street, Belleville, ON K8N 2Z9",N/A,https://upfrontcafe.ca/,"Music Venue, Cafe",All Genres,N/A,N/A,N/A,"""A licensed Cafe and Event space with live music weekly (mostly open jam on Thursdays, shows on Fridays and Saturdays, and Blues jam on Sundays).""",Requires Premium,https://www.facebook.com/UpFrontGallery,N/A,N/A,https://www.indieonthemove.com/venues/upfront-cafe-belleville-ontario,https://www.indieonthemove.com/venues/upfront-cafe-belleville-ontario,,
Mort's Pub,Ottawa,ON,K2H5Y7,"2011 Robertson Road, Ottawa, ON K2H5Y7",N/A,https://www.mortspub.com/,"Music Venue, Pub","Acoustic, Classic Rock, Dance, Pop, Rock, Top 40",N/A,N/A,N/A,This pub hosts an open jam on Thursday nights and shows on Saturday nights.,Requires Premium,https://www.facebook.com/profile.php?id=100054537816632,https://www.instagram.com/morts.pub,N/A,https://www.indieonthemove.com/venues/morts-pub-ottawa-ontario,https://www.indieonthemove.com/venues/morts-pub-ottawa-ontario,,
Highlands Music Festival,Palmer Rapids,ON,K0J 2E0,"Camp Walden, 38483 ON-28, Palmer Rapids, ON K0J 2E0",N/A,https://highlandsmusicfestival.ca/,Music Festival,"All Genres, Folk, Indie",N/A,N/A,N/A,"""Indie-Folk Festival at Summer Camp."" The festival takes place in late September.",Requires Premium,N/A,https://www.instagram.com/highlandsmusicfestival/,N/A,https://www.indieonthemove.com/venues/highlands-music-festival-palmer-rapids-ontario,https://www.indieonthemove.com/venues/highlands-music-festival-palmer-rapids-ontario,Ontario,2026-05-03T13:34:57
Duffy's Tavern,Toronto,ON,M6H 1N3,"1238 Bloor Street West, Toronto, ON M6H 1N3",N/A,http://duffystavern.ca/,"Music Venue, Bar, Restaurant",All Genres,200,19+,N/A,"""Toronto's best live music venue / neighbourhood bar/restaurant. Two live stages, all sporting events, 10 TV's, pool tables, table football, and lots more!"" Live music is held on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/duffystoronto/,N/A,Ready to Strike; Nolan Hubbard; AloneKitty; Deer Fang; clay pigeon,https://www.indieonthemove.com/venues/duffys-tavern-toronto-ontario,https://www.indieonthemove.com/venues/duffys-tavern-toronto-ontario,Ontario,2026-05-03T13:35:02
Rum Runners,London,ON,N6A 1G7,"176 Dundas Street, London, ON N6A 1G7",N/A,N/A,Music Venue,All Genres,350,N/A,N/A,"""Rum Runners, which opened in 2005 is located within the walls of the London Music Hall. It has hosted acts such as the Arkells, illScarlett, & Cancer Bats."" Most shows take place Thursday-Sunday nights.",Requires Premium,https://www.facebook.com/rumrunnerslondon/,N/A,Destroyer; Strung Out; Limits of Approach; Alpha Wolf; Gideon; Mugshot; Resolve; Alpha Wolf; Lovers; Cat Clyde,https://www.indieonthemove.com/venues/rum-runners-london-ontario,https://www.indieonthemove.com/venues/rum-runners-london-ontario,Ontario,2026-05-03T13:35:39
Robo Lounge,Ottawa,ON,K1S 5Y2,"275 Carling Avenue, Ottawa, ON K1S 5Y2",N/A,https://www.barrobo.com/therobolounge/,"Music Venue, Bar, Cafe, Lounge","Acoustic, Jazz, Singer-Songwriter",150,19+,N/A,"""An intimate live music venue inside The Clemow."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/profile.php?id=61574081203184,https://www.instagram.com/therobolounge,N/A,https://www.indieonthemove.com/venues/robo-lounge-ottawa-ontario,https://www.indieonthemove.com/venues/robo-lounge-ottawa-ontario,Ontario,2026-05-03T13:35:44
POP Montreal,Montreal,QC,H2V 4H2,"Montreal, QC H2V 4H2",N/A,https://popmontreal.com/,Music Festival,All Genres,N/A,N/A,5.00,"""POP Montreal International Music Festival is an annual not-for-proﬁt curated cultural event that champions independence in the arts by presenting emerging and celebrated artistic talents from around the world."" The festival takes place in late September/early October.",Requires Premium,https://www.facebook.com/popmontreal/,https://www.instagram.com/popmontreal/,N/A,https://www.indieonthemove.com/venues/pop-montreal-montreal-quebec,https://www.indieonthemove.com/venues/pop-montreal-montreal-quebec,Quebec,2026-05-03T13:36:12
Theatre Rialto,Montreal,QC,H2V 4H2,"5723 Avenue du Parc, Montreal, QC H2V 4H2",N/A,https://www.theatrerialto.ca/,"Music Venue, Rental",All Genres,1165,N/A,5.00,"""In March 2010, husband and wife duo Ezio Carosielli and Luisa Sassano purchased the iconic Rialto Theater located at 5723 ave. du Parc with the intention of restoring it to its original beauty and grandeur. The Rialto Theater is now an open, inclusive and multicultural center for performing arts that offers a platform for emerging local and international artists. It also serves as an event venue that hosts various private and corporate events including trade shows, conferences, product launches, holiday parties, galas, benefit concerts, fundraisers, cocktails, conventions, recognition & award shows, graduation balls, engagement parties, weddings, anniversaries, birthday celebrations, movie productions, photoshoots and more. Over 20,000 people walk through the Rialto's doors every year to take part in tours of the theater."" Live music can be held any night of the week.",Requires Premium,https://www.facebook.com/theatrerialto,https://www.instagram.com/theatrerialto/,Sal Da Vinci; Lee Harris; Davor Bozic; Tinariwen; K-Pop Infinity,https://www.indieonthemove.com/venues/theatre-rialto-montreal-quebec,https://www.indieonthemove.com/venues/theatre-rialto-montreal-quebec,Quebec,2026-05-03T13:36:16
Pub St-Alexandre,Quebec City,QC,G1R 1S3,"1087 Rue Saint-Jean, Quebec City, QC G1R 1S3",N/A,https://www.pubstalexandre.com/,"Music Venue, Restaurant, Pub","Blues, Folk, Jazz, Pop",N/A,N/A,N/A,"""In the heart of Old Quebec...a tradition."" The host live music 365 days a year.",Requires Premium,https://www.facebook.com/PubStAlexandre/,N/A,N/A,https://www.indieonthemove.com/venues/pub-st-alexandre-quebec-city-quebec,https://www.indieonthemove.com/venues/pub-st-alexandre-quebec-city-quebec,Quebec,2026-05-03T13:36:22
Barfly,Montreal,QC,H2W 1Y8,"4062 St. Laurent Boulevard, Montreal, QC H2W 1Y8",N/A,N/A,"Music Venue, Bar",All Genres,N/A,18+,N/A,"""Bar & Live Music Venue."" While most shows take place Thursday-Saturday nights, they can be held any night of the week.",Requires Premium,https://www.facebook.com/BarflyMtl/,https://www.instagram.com/barflylive/,Zach Bellas; Asia Ruby; Focused,https://www.indieonthemove.com/venues/barfly-montreal-quebec,https://www.indieonthemove.com/venues/barfly-montreal-quebec,Quebec,2026-05-03T13:36:27
Le Studio TD,Montreal,QC,H2X 2A3,"305 Sainte Catherine Street West, Montreal, QC H2X 2A3",N/A,https://lestudiotd.com/,Music Venue,All Genres,650,N/A,N/A,"""Performance hall in the heart of the Quartier des spectacles."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/LeStudioTD/,https://www.instagram.com/lestudiotd/,Asim Azhar; Searows; Jordan Patterson; Jordan Patterson; Jimmy Moore; Jimmy Moore; Jimmy Moore; INJI; INJI; Statzz,https://www.indieonthemove.com/venues/le-studio-td-montreal-quebec,https://www.indieonthemove.com/venues/le-studio-td-montreal-quebec,Quebec,2026-05-03T13:36:32
The Wheel Club,Montreal,QC,H4B 2L7,"3373 Cavendish Boulevard, Montreal, QC H4B 2L7",N/A,https://www.wheelclubndg.com/,"Music Venue, Open Mic",All Genres,N/A,N/A,N/A,"""The Wheel Club is a historical, one-of-a-kind, not-for-profit club in Montreal's borough of NDG. Its mission is to promote community accessibility to artistic performance, and to ensure all genres of music and performance art are available to all ages within our culturally diverse and demographically rich community of NDG and Greater Montreal."" Most shows take place Friday - Sunday, but they are flexible. Mondays are reserved for open mic.",Requires Premium,https://www.facebook.com/wheelclubndg/,https://www.instagram.com/wheelclubndg,Cliff Stevens,https://www.indieonthemove.com/venues/the-wheel-club-montreal-quebec,https://www.indieonthemove.com/venues/the-wheel-club-montreal-quebec,Quebec,2026-05-03T13:36:36
Le Ministère,Montreal,QC,H2T 1R2,"4521 Boulevard Saint-Laurent, Montreal, QC H2T 1R2",N/A,https://leministere.ca/,"Music Venue, Rental",All Genres,288,N/A,N/A,"""Performance venue located in a heritage building on St-Laurent Boulevard."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/leministere.ca/,https://www.instagram.com/leministere.ca/,Laurence Castera; Greenhouse Ensemble; Sessa; Kolumbo; Webster; Olie N.; Mélisande (QC); Jonathan Houde; Le Diable à Cinq; ANDRES ACOSTA,https://www.indieonthemove.com/venues/le-ministere-montreal-quebec,https://www.indieonthemove.com/venues/le-ministere-montreal-quebec,Quebec,2026-05-03T13:36:39
Bootlegger Cocktail Bar & Cuisine,Montreal,QC,H2X 2T6,"3481 Saint Laurent Boulevard, Montreal, QC H2X 2T6",N/A,https://barbootlegger.com/,"Bar, Music Venue, Jazz & Blues","DJ, Jazz",N/A,18+,N/A,"""Warm speakeasy-style cocktail bar for bespoke libations, elevated bites & live music."" They host live Jazz on Sunday nights. Most other nights are reserved for DJs.",Requires Premium,https://www.facebook.com/barbootlegger,N/A,N/A,https://www.indieonthemove.com/venues/bootlegger-cocktail-bar-cuisine-montreal-quebec,https://www.indieonthemove.com/venues/bootlegger-cocktail-bar-cuisine-montreal-quebec,Quebec,2026-05-03T13:36:43
Montreal Art Center & Museum,Montreal,QC,H3J 1R5,"1844 William Street, Montreal, QC H3J 1R5",N/A,https://www.montrealartcenter.com/,"Music Venue, Art Gallery, Museum","Acoustic, Cabaret, Classical, Jazz, Latin, Singer-Songwriter, Soft Rock",N/A,N/A,N/A,"""The Montreal Art Center and Museum is a not for profit supporting visual and performing artists."" They host live music Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/MontrealArtCentre/,https://www.instagram.com/mtlartcenter/,Rachel Dara,https://www.indieonthemove.com/venues/montreal-art-center-museum-montreal-quebec,https://www.indieonthemove.com/venues/montreal-art-center-museum-montreal-quebec,Quebec,2026-05-03T13:36:48
BALATTOU,Montreal,QC,H2W 1Z5,"4372 Boulevard Saint-Laurent, Montreal, QC H2W 1Z5",N/A,https://www.balattou.com/,"Music Venue, Bar","African, Blues, DJ, Hip Hop, Jazz, Latin, Pop, R&B, Reggae, Rock, World",N/A,18+,N/A,"""A cult place in Montreal for over 35 years, base camp for the International Nuits d'Afrique Festival, Club Balattou is a must-see for world music. During the weekends (Friday-Sunday], DJs take to the decks while local and international groups perform there on weeknights [Tuesday-Thursday].""",Requires Premium,https://www.facebook.com/ClubBalattou/,https://www.instagram.com/clubbalattou/,Bo Diaw; Berbanya; Alhambra; DOSGUITARRAS; Koze; Ensemble Afrovibes,https://www.indieonthemove.com/venues/balattou-montreal-quebec,https://www.indieonthemove.com/venues/balattou-montreal-quebec,Quebec,2026-05-03T13:36:52
L'Escogriffe Bar Spectacle,Montreal,QC,H2J 2L2,"4461 Rue Saint-Denis, Montreal, QC H2J 2L2",N/A,N/A,"Music Venue, Bar",All Genres,180,18+,N/A,"""•Music Venue / Bar Spectacle•"" Shows are held Tuesday-Sunday nights.",Requires Premium,https://www.facebook.com/lescomontreal/,https://www.instagram.com/bar_lesco/,Open Mike Eagle; Cadence Weapon; Robber Robber; The POX; Gutser; VIAL; G String; Saints Martyrs; Dogo Suicide; Dumbo Gets Mad,https://www.indieonthemove.com/venues/lescogriffe-bar--spectacle-montreal-quebec,https://www.indieonthemove.com/venues/lescogriffe-bar--spectacle-montreal-quebec,Quebec,2026-05-03T13:36:56
L'Anti Bar & Spectacles,Quebec City,QC,G1K 5Z6,"251 Rue Dorchester, Quebec City, QC G1K 5Z6",N/A,https://lanti.ca/,"Music Venue, Bar",All Genres,175,18+,N/A,"""L'ANTI is a bar and performance venue located in downtown Quebec City, in the Saint-Roch district."" Most shows take place Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/Antibarspectacles/,https://www.instagram.com/barlanti/,Édouard Tremblay-Grenier; Atoll; CARRION VAEL; The Damn Truth; Rob Moir; TIM VANTOL; Antillectual; Ariel Posen; Wendlo; Chris Duarte,https://www.indieonthemove.com/venues/lanti-bar-spectacles-quebec-city-quebec,https://www.indieonthemove.com/venues/lanti-bar-spectacles-quebec-city-quebec,Quebec,2026-05-03T13:37:01
Fou-Bar,Quebec City,QC,G1R 1P5,"525 Rue Saint-Jean, Quebec City, QC G1R 1P5",N/A,https://www.foubar.ca/,"Music Venue, Bar","All Genres, Blues, Bossa Nova, Classic Rock, Folk, Jazz, Pop, Rock",N/A,18+,N/A,"""Your everyday pub."" Shows are held on varying nights with Tuesdays being reserved for Jazz.",Requires Premium,https://www.facebook.com/profile.php?id=100063706086731,https://www.instagram.com/le_fou_bar/,N/A,https://www.indieonthemove.com/venues/fou-bar-quebec-city-quebec,https://www.indieonthemove.com/venues/fou-bar-quebec-city-quebec,Quebec,2026-05-03T13:37:05
Mariposa Bistro Café,Montreal,QC,H4A 2A7,"5562 Chemin Upper Lachine, Montreal, QC H4A 2A7",N/A,https://www.cafemariposa.ca/,"Music Venue, Restaurant, Listening Room","Acoustic, Americana, Blues, Folk, Jazz, Singer-Songwriter",90,N/A,N/A,"""Sing along Bistro with Blues Folk Americana Java Jazz. Live Venue since 2010, run by Guitarist, Singer Songwriter, Dad."" They host open mic on Wednesday nights and shows on Friday and Saturday nights.",Requires Premium,N/A,https://www.instagram.com/mariposamontreal/,N/A,https://www.indieonthemove.com/venues/mariposa-bistro-cafe-montreal-quebec,https://www.indieonthemove.com/venues/mariposa-bistro-cafe-montreal-quebec,Quebec,2026-05-03T13:37:10
La Sala Rossa + La Sotterenea,Montreal,QC,H2T 1R5,"4848 St Laurent Boulevard, Montreal, QC H2T 1R5",N/A,https://casadelpopolo.com/en/events/la-sala-rossa,"Music Venue, Restaurant",All Genres,300,N/A,N/A,"""Performance halls + Spanish tapas restaurant."" Shows can be held any night of the week in either space.",Requires Premium,https://www.facebook.com/lasalarossa/,https://www.instagram.com/lasalarossa/,Philippe B; Philippe B; Philippe B; mark william lewis; Lip Critic; Bye Parula; Cassandra Jenkins; Maybe Babs; Victoryland; Drook,https://www.indieonthemove.com/venues/la-sala-rossa-la-sotterenea-montreal-quebec,https://www.indieonthemove.com/venues/la-sala-rossa-la-sotterenea-montreal-quebec,Quebec,2026-05-03T13:37:15
Le Pantoum,Quebec City,QC,G1K 1J6,"76 Rue Saint-Vallier Ouest, Quebec City, QC G1K 1J6",N/A,https://www.lepantoum.com/,"Music Venue, Recording Studio",All Genres,N/A,N/A,N/A,"""Pantoum is a music creation complex operated by a community of cultural workers in Quebec City. Pantoum's mission is to strengthen and promote the artistic community through alternative and innovative means."" Most shows take place Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/PantoumQc/,https://www.instagram.com/pantoum_qc/,Get The Shot; SPITPOOL; Safia Nolin,https://www.indieonthemove.com/venues/le-pantoum-quebec-city-quebec,https://www.indieonthemove.com/venues/le-pantoum-quebec-city-quebec,Quebec,2026-05-03T13:37:20
Bistro Le Pape Georges,Quebec City,QC,G1K 8R1,"8 Rue du Cul-de-Sac, Quebec City, QC G1K 8R1",N/A,https://bistrolepapegeorges.com/,"Music Venue, Bar, Restaurant, Jazz & Blues","Acoustic, Blues, Jazz",N/A,N/A,N/A,"""Nestled in a stone house dating back to 1668, Le Pape Georges blends heritage and the pleasures of fine dining."" They host live music Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/papegeorges,N/A,N/A,https://www.indieonthemove.com/venues/bistro-le-pape-georges-quebec-city-quebec,https://www.indieonthemove.com/venues/bistro-le-pape-georges-quebec-city-quebec,Quebec,2026-05-03T13:37:24
Le Cluster Bar Spectacle,Lévis,QC,G6V 9R2,"9320 Boulevard Guillaume-Couture, Lévis, QC G6V 9R2",N/A,https://www.leclusterbarspectacle.com/,"Music Venue, Rental","All Genres, Classic Rock, Rock",N/A,18+,N/A,This bar hosts regularly scheduled shows on Saturday nights.,Requires Premium,https://www.facebook.com/LeCluster/,N/A,N/A,https://www.indieonthemove.com/venues/le-cluster-bar-spectacle-levis-quebec,https://www.indieonthemove.com/venues/le-cluster-bar-spectacle-levis-quebec,Quebec,2026-05-03T13:37:30
Bar Le Sacrilège,Quebec City,QC,G1R 1P5,"447 Rue Saint-Jean, Quebec City, QC G1R 1P5",N/A,https://barlesacrilege.com/,"Music Venue, Bar, Pub","Blues, DJ, Jazz, Singer-Songwriter",N/A,18+,N/A,"""A local, neighborhood bar with the most beautiful patios in Quebec City, open from fall to summer! An artistic, social, and cultural institution. Craft beer, cocktails, and spirits!"" They host live music and/or DJs on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/bar.lesacrilege,https://www.instagram.com/barlesacrilege/,N/A,https://www.indieonthemove.com/venues/bar-le-sacrilege-quebec-city-quebec,https://www.indieonthemove.com/venues/bar-le-sacrilege-quebec-city-quebec,Quebec,2026-05-03T13:37:35
Sonum,Quebec City,QC,G1K 6V5,"25 Rue Bigaouette, Quebec City, QC G1K 6V5",N/A,https://www.studiosonum.com/,"Music Venue, Recording Studio",All Genres,N/A,N/A,N/A,"""Rehearsal studios and registration in Quebec at your service since 1997."" Shows typically take place on weekends, but exceptions can be made.",Requires Premium,https://www.facebook.com/studiosonum/,N/A,N/A,https://www.indieonthemove.com/venues/sonum-quebec-city-quebec,https://www.indieonthemove.com/venues/sonum-quebec-city-quebec,Quebec,2026-05-03T13:37:39
Monte Cristo,Sainte-Thérèse,QC,J7E 1W9,"10 Rue Blainville Ouest, Sainte-Thérèse, QC J7E 1W9",N/A,N/A,"Music Venue, Bar",All Genres,N/A,18+,N/A,"""Live music, improv, karaoke, arcade games & pool on Montreal's North Shore (Ste-Thérèse)."" Most shows take place on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/MonteCristoBar2025/,https://www.instagram.com/le_montecristo_/,THE MATCHUP; Death By Dingo,https://www.indieonthemove.com/venues/monte-cristo-sainte-therese-quebec,https://www.indieonthemove.com/venues/monte-cristo-sainte-therese-quebec,Quebec,2026-05-03T13:37:44
Le Murdoch,Sherbrooke,QC,J1H 1X9,"180 Rue Galt Ouest, Sherbrooke, QC J1H 1X9",N/A,N/A,"Music Venue, Open Mic","Alternative, Classic Rock, Hardcore, Indie, Metal, Punk, Rock",N/A,N/A,N/A,"Since 2015. Most shows take place on Friday and Saturday nights with open mic on Thursday nights, but they are flexible.",Requires Premium,https://www.facebook.com/lemurdoch/,https://www.instagram.com/le_murdoch_sherbrooke/,N/A,https://www.indieonthemove.com/venues/le-murdoch-sherbrooke-quebec,https://www.indieonthemove.com/venues/le-murdoch-sherbrooke-quebec,Quebec,2026-05-03T13:37:49
The Blacksheep Inn,Wakefield,QC,J0X 3G0,"753 Chem. Riversidej, Wakefield, QC J0X 3G0",N/A,https://www.blacksheepinn.ca/,"Bar, Lodging, Music Venue, Restaurant, Rental","Acoustic, Alt Country, Americana, Bluegrass, Blues, Blues Rock, Classic Rock, Folk, Jam Band, Old Time, Rock, Roots Music, Singer-Songwriter",150,18+,N/A,"""An iconic live music venue, with a restaurant, bar, and hotel in the centre of Wakefield, Quebec."" Shows take place Thursday-Sunday. All ages matinees are possible.",Requires Premium,https://www.facebook.com/profile.php?id=61582804583929,https://www.instagram.com/blacksheep_inn/,Nautical Twilight; Smelloship; Mecca of Stank; Liam Grant; Friday's Child and The Lost Congregation; Petunia & The Vipers; Dead Root Revival,https://www.indieonthemove.com/venues/the-blacksheep-inn-wakefield-quebec,https://www.indieonthemove.com/venues/the-blacksheep-inn-wakefield-quebec,Quebec,2026-05-03T13:37:55
O Patro Vys,Montreal,QC,H2T 1P9,"356 Mt-Royal Est, Montreal, QC H2T 1P9",N/A,https://opatrovys.com/,"Music Venue, Art Gallery, Rental",All Genres,N/A,18+,N/A,"""The Mont-Royal “plateau” neighborhood is overflowing with artistic activities of all kinds. Despite this vibe, adequate and accessible spaces for presenting artistic projects are lacking. As a result, we decided to work towards creating a place, above from the BILY KUN (www.bilykun.com), to fill this void."" This is a non-profit organization/room that supports all types of live performance art. Live music can be held 7 nights a week.",Requires Premium,https://www.facebook.com/O-Patro-Vys-157240524296126/,N/A,LeCypherX; LeCypherX; LeCypherX; LeCypherX; Clerel,https://www.indieonthemove.com/venues/o-patro-vys-montreal-quebec,https://www.indieonthemove.com/venues/o-patro-vys-montreal-quebec,Quebec,2026-05-03T13:37:59
Beanfield Theatre,Montreal,QC,H3J 1N5,"2490 Rue Notre-Dame Ouest, Montreal, QC H3J 1N5",N/A,https://theatrebeanfield.ca/,"Music Venue, Rental",All Genres,925,N/A,N/A,"Formerly Corona Theatre. ""The Theater welcomes artists and creators, without forgetting meetings of business people and numerous film producers."" Concerts can be held any night of the week.",Requires Premium,https://www.facebook.com/TheatreBeanfield/,https://www.instagram.com/theatrebeanfield/,ISMO; Flea; - la mosca; Angelmaker; Mental Cruelty; Frozen Soul; Obscurcis Romancia; Fleshgod Apocalypse; The Black Angels; L.A. WITCH,https://www.indieonthemove.com/venues/beanfield-theatre-montreal-quebec,https://www.indieonthemove.com/venues/beanfield-theatre-montreal-quebec,Quebec,2026-05-03T13:38:03
Piranha Bar,Montreal,QC,H3B 1C2,"680 Saint-Catherine Street West, Montreal, QC H3B 1C2",N/A,https://www.piranhabar.ca/,"Music Venue, Bar, Night Club",All Genres,300,18+,N/A,Live music can be held any night of the week.,Requires Premium,https://www.facebook.com/Piranhabar,https://www.instagram.com/piranhabar.mtl/,N/A,https://www.indieonthemove.com/venues/piranha-bar-montreal-quebec,https://www.indieonthemove.com/venues/piranha-bar-montreal-quebec,Quebec,2026-05-03T13:38:09
Foufounes Electriques,Montreal,QC,H2X 1K5,"87 Ste-Catherine Est., Montreal, QC H2X 1K5",N/A,https://www.foufouneselectriques.com/,"Music Venue, Bar, Night Club","All Genres, Alternative, Hardcore, Metal, Punk, Rock",615,18+,N/A,Shows can be held any night of the week.,Requires Premium,https://www.facebook.com/foufouneselectriques,N/A,Lost In Separation; NEW WASTELANDS; Les Sheriff; Earth Crisis; Peer Pressure; Pace; Kali Masi; Christy Costello; FrancBâtards; Kim & Dro,https://www.indieonthemove.com/venues/foufounes-electriques-montreal-quebec,https://www.indieonthemove.com/venues/foufounes-electriques-montreal-quebec,Quebec,2026-05-03T13:38:13
Casa del Popolo,Montreal,QC,H2T 1R6,"4873 Boulevard Saint-Laurent, Montreal, QC H2T 1R6",N/A,http://www.casadelpopolo.com/,"Music Venue, Cafe, Bar, Restaurant, Rental",All Genres,100,18+,N/A,"""Casa Del Popolo (The House of the People) is Montréal’s only family-run neighbourhood vegetarian hot-spot! Part fair-trade café, part music venue, part resto-bar and part art gallery."" Live music can be held 7 nights a week.",Requires Premium,https://www.facebook.com/Casa-del-Popolo-130315510350930/,https://www.instagram.com/casadelpopolo/,Griffin Brown; mage tears; Ebril; The Suitcase Junket; Clément; Psychtooth; Metivier; Leeroy Stagger; Nick Bellerose; Andrea Scala,https://www.indieonthemove.com/venues/casa-del-popolo-montreal-quebec,https://www.indieonthemove.com/venues/casa-del-popolo-montreal-quebec,Quebec,2026-05-03T13:38:18
Bar Le Ritz PDB,Montreal,QC,H2R 2X2,"179 Rue Jean-Talon Ouest, Montreal, QC H2R 2X2",N/A,https://www.barleritzpdb.com/,"Music Venue, Bar",All Genres,300,18+,N/A,"""Bar Le Ritz PDB is a concert hall located in Montreal."" Shows can be held any night of the week, though they typically take place Wednesday-Saturday nights.",Requires Premium,https://www.facebook.com/leritzpdb,https://www.instagram.com/barleritzpdb/,Katie Tupper; E.M.E; Ac Yung; Keenan TreVon; Ecce Shnak; Weird Nightmare; Lakeview; Ariel Posen; Afrodite; Wendlo,https://www.indieonthemove.com/venues/bar-le-ritz-pdb-montreal-quebec,https://www.indieonthemove.com/venues/bar-le-ritz-pdb-montreal-quebec,Quebec,2026-05-03T13:38:24
Quai des Brumes,Montreal,QC,H2J 2L2,"4481 Rue Saint-Denis, Montreal, QC H2J 2L2",N/A,https://quaidesbrumes.ca/,Music Venue,All Genres,N/A,18+,N/A,Live music 7 nights a week.,Requires Premium,https://www.facebook.com/quaidesbrumesmtl/,https://www.instagram.com/quai_des_brumes/,Super Pyramid; Aaron Wylder; Dart Breaks; Ross Fizzard; Dale Ross; THOMAS ARIELL; Waahli; Bénédicte Bérubé; La dame Ovale; Tom Chicoine,https://www.indieonthemove.com/venues/quai-des-brumes-montreal-quebec,https://www.indieonthemove.com/venues/quai-des-brumes-montreal-quebec,Quebec,2026-05-03T13:38:29
Hemisphere Gauche,Montreal,QC,H2S 1R5,"221 Beaubien Est, Montreal, QC H2S 1R5",N/A,https://www.hemispheregauche.com/,"Music Venue, Night Club, Bar",All Genres,156,18+,N/A,"""A rocking alternative show bar. We provide live bands, comedy, local film screenings, super cocktails, local beer at great prices."" Shows can be held any night of the week. Wednesdays are reserved for open mic.",Requires Premium,https://www.facebook.com/hemishows/,https://www.instagram.com/barhemispheregauche/,Table Talk; Braindown; SPITPOOL; Eternal Mourning; Quantum Quasar; CADMIUM; Saint Willow; EMERG,https://www.indieonthemove.com/venues/hemisphere-gauche-montreal-quebec,https://www.indieonthemove.com/venues/hemisphere-gauche-montreal-quebec,Quebec,2026-05-03T13:38:33
Bistro a Jojo,Montreal,QC,H2X 3K3,"1627 Rue St-Denis, Montreal, QC H2X 3K3",N/A,https://www.bistroajojo.com/,"Music Venue, Bar","Acoustic, Blues, Blues Rock, Classic Rock, Folk, Rock, Singer-Songwriter",N/A,18+,N/A,"""SINCE 1975, this small bar presents great live music EVERYDAY in an intimate and authentic ambiance!"" Live music 7 nights a week with Sundays being reserved for a regular weekly performer.",Requires Premium,https://www.facebook.com/Bistroajojo,https://www.instagram.com/bistroajojomontreal/,Cliff Stevens,https://www.indieonthemove.com/venues/bistro-a-jojo-montreal-quebec,https://www.indieonthemove.com/venues/bistro-a-jojo-montreal-quebec,Quebec,2026-05-03T13:38:38
La Salle Desjardins-Telus,Rimouski,QC,G5L 4B4,"25 Rue Saint-Germain Ouest, Rimouski, QC G5L 4B4",N/A,https://spectart.com/,Music Venue,All Genres,919,N/A,N/A,"""Spect'Art Rimouski, multidisciplinary presenter and manager of the Salle DESJARDINS-TELUS,'s mission is to offer the regional population an annual program of professional shows covering all aspects of the performing arts as well as cultural mediation activities."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/spectartrimouski,https://www.instagram.com/spectartrimouski/,Alphonse Bisaillon; VioleTT Pi; Amandine et Gédéon; Alicia Moffet; Ludovick Bourgeois; Salebarbes; Salebarbes,https://www.indieonthemove.com/venues/la-salle-desjardins-telus-rimouski-quebec,https://www.indieonthemove.com/venues/la-salle-desjardins-telus-rimouski-quebec,Quebec,2026-05-03T13:38:42
