Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,Normalized_Profile_URL,Source_Province_Search,Scraped_At,venue_type,lat,lon,Raw_Building_Area_SqFt,Building_Area_SqFt,Multi_Tenant_Flag,heuristic_capacity,Estimated_Capacity,Estimated_Capacity_Low,Estimated_Capacity_High,Estimation_Method,Confidence
The Hub,Kitchener,ON,N2G 1A7,"125 King Street West, Kitchener, ON N2G 1A7",,https://www.thehubkw.com/,Music Venue,All Genres,400.0,19+,,"""Formerly known as Wax Nightclub."" Shows can be held any night of the week. This is an event-based venue, so they are only open if there is a show.",Requires Premium,https://www.facebook.com/thehubkitchener,https://www.instagram.com/thehub_kw/,Gabriel Rutledge,https://www.indieonthemove.com/venues/the-hub-kitchener-ontario,https://www.indieonthemove.com/venues/the-hub-kitchener-ontario,,,club,43.4504087,-80.491771,6616.8,6616.8,False,1134.3085714285714,400.0,400.0,400.0,known,known
Junction Underground,Toronto,ON,M6P 1Z1,"2907 Dundas Street West, Toronto, ON M6P 1Z1",,https://junctionunderground.ca/,Music Venue,All Genres,150.0,19+,,"""The Junction Underground is Toronto’s newest west end venue. Built with locals in mind it is open for all to enjoy. Alex SenGupta (The Lakeview, Ding A Wing, High Park Cannabis Co.) and Drago Nagoda (High Park Cannabis Co.), who grew up in the area, hope to bring back some fun times in the former Junction City Music Hall."" Shows can take place Thursday-Sunday nights.",Requires Premium,https://www.facebook.com/JunctionUndergroundToronto/,https://www.instagram.com/junctionundergroundtoronto/,ALEX EXISTS; Skaface; Rat Grenade; Streets To Ourselves,https://www.indieonthemove.com/venues/junction-underground-toronto-ontario,https://www.indieonthemove.com/venues/junction-underground-toronto-ontario,,,venue,43.6653059,-79.4662408,2956.4,2956.4,False,177.384,150.0,150.0,150.0,known,known
Tapestry,Toronto,ON,M5T 2L6,"224 Augusta Avenue, Toronto, ON M5T 2L6",,,"Music Venue, Bar",All Genres,,19+,,"They host live music and/or DJs up to 6 nights a week, Tuesday-Sunday. They also have a monthly jam session called ""Tapestry Jam,"" in which they bring together 4 musician that remain anonymous to each other until the show.",Requires Premium,,https://www.instagram.com/tapestry_to,Dinosaur Politics; redhed,https://www.indieonthemove.com/venues/tapestry-toronto-ontario,https://www.indieonthemove.com/venues/tapestry-toronto-ontario,,,bar,43.6548887,-79.4022755,1355.9,1355.9,False,116.22000000000001,80.0,55.0,285.0,model,high
Maxwell's Concerts and Events,Waterloo,ON,N2J 2V9,"35 University Avenue East, Waterloo, ON N2J 2V9",,https://maxwellswaterloo.com/,"Music Venue, Rental",All Genres,700.0,,,"""Maxwell’s Concerts & Events is the most versatile event space in Waterloo Region. It’s located at 35 University Avenue East, seconds away from both Wilfrid Laurier University and University of Waterloo."" Shows can be held any night of the week. Age requirement can vary.",Requires Premium,https://www.facebook.com/maxwellswaterloo,https://www.instagram.com/maxwellswaterloo/,Michael Mathers - Eminem Tribute; Cam Kahin; Softcase; Born In The Eighties; Royal Tusk; John Shambles; Brother Elsey; Napalm Death; LANSDOWNE; Avalon Stone,https://www.indieonthemove.com/venues/maxwells-concerts-and-events-waterloo-ontario,https://www.indieonthemove.com/venues/maxwells-concerts-and-events-waterloo-ontario,,,venue,43.4764377,-80.5219439,46671.3,11667.8,True,700.068,700.0,700.0,700.0,known,known
Glenn Gould Studio,Toronto,ON,M5V 3G5,"250 Front Street West, Toronto, ON M5V 3G5",,https://www.cbc.ca/glenngouldstudio/,"Music Venue, Rental","Classical, Jazz, Pop, Rock, World",337.0,,,"""We are a premier event rental, located in the heart of downtown Toronto at 250 Front Street West."" Shows can be held any night of the week.",Requires Premium,,https://www.instagram.com/glenngouldcbc/,Alexis Baro,https://www.indieonthemove.com/venues/glenn-gould-studio-toronto-ontario,https://www.indieonthemove.com/venues/glenn-gould-studio-toronto-ontario,,,venue,43.6443881,-79.3875932,148439.4,37109.8,True,4453.176,337.0,337.0,337.0,known,known
The Mod Club,Toronto,ON,M6G 1C4,"722 College Street, Toronto, ON M6G 1C4",,https://www.themodclub.com/,Music Venue,All Genres,610.0,,,"Formerly The Axis Club Theatre. ""The Mod Club is located at the northwest corner of College and Crawford Streets in Toronto’s bustling Little Italy."" Shows can be held any night of the week. Age requirement can vary.",Requires Premium,,https://www.instagram.com/themodclub/,Broadway Rave; Pile; mclusky; yung kai; yung kai; The Veldt; The Chameleons; Concrete Boys; Concrete Boys; Lexa Gates,https://www.indieonthemove.com/venues/the-mod-club-toronto-ontario,https://www.indieonthemove.com/venues/the-mod-club-toronto-ontario,,,club,,,,,False,,610.0,610.0,610.0,known,known
The 27 Club,Ottawa,ON,K1N 5S7,"27 York Street, Ottawa, ON K1N 5S7",,,"Music Venue, Night Club",All Genres,,19+,,"""Live music acts, dance floor, themed nights - your downtown Ottawa nightclub."" They host events Monday - Saturday nights.",Requires Premium,https://www.facebook.com/the27clubottawa/,https://www.instagram.com/27club_ottawa/,Felix Cartal; Witchz; Magugu; Amos the Transparent; The Casualties; The Drowns; The OBGMs; The Effens; Lowertown; Bleeker,https://www.indieonthemove.com/venues/the-27-club-ottawa-ontario,https://www.indieonthemove.com/venues/the-27-club-ottawa-ontario,,,club,45.428055,-75.6940862,4476.3,4476.3,False,383.6828571428572,235.0,205.0,335.0,model,high
Crazy Horse Stonegrill Steakhouse & Saloon,Ottawa,ON,K2T 1G7,"115 Roland Michener Drive, Ottawa, ON K2T 1G7",,https://www.thecrazyhorse.ca/,"Bar, Restaurant, Music Venue","All Genres, Alternative, Classic Rock, Country, Rock",,19+,,"""Ottawa's only Stonegrill Steakhouse -- experience 'lava rock' dining while enjoying the best talent from Nashville, Halifax, Toronto & Ottawa!!"" They host live music every Friday and Saturday night.",Requires Premium,https://www.facebook.com/CrazyHorseStonegrill/,https://www.instagram.com/barcrazyhorse/,,https://www.indieonthemove.com/venues/crazy-horse-stonegrill-steakhouse-saloon-ottawa-ontario,https://www.indieonthemove.com/venues/crazy-horse-stonegrill-steakhouse-saloon-ottawa-ontario,,,bar,45.3082965,-75.9135908,8179.5,2044.9,True,350.55428571428575,165.0,105.0,315.0,model,medium
Barnstorm,Finch,ON,K0C 1K0,"15328 Concession 3-4 Road, Finch, ON K0C 1K0",,https://barnstorm.info/,Music Festival,All Genres,,,,"**On hold in 2026.""Once a year, usually the first Saturday before Labour Day Weekend, our 150-year-old barn, the “Odditorium”, located at “The Sanctuary” in Finch, Ontario, comes to life with friends, locals, and music lovers at Barnstorm.""",Requires Premium,https://www.facebook.com/profile.php?id=100044267302581,,,https://www.indieonthemove.com/venues/barnstorm-finch-ontario,https://www.indieonthemove.com/venues/barnstorm-finch-ontario,,,bar,45.1633495,-75.0706562,1464.8,1464.8,False,125.55428571428571,130.0,100.0,385.0,model,high
The Barn,Alexandria,ON,K0C 1A0,"20990 Glen Robertson Road, Alexandria, ON K0C 1A0",,,Music Venue,"Blues, Chamber, Classic Rock, Country, Dance, Pop, Reggae, Rock",,,,"""The Barn, originally constructed in 1908, is an awesome Live Music Venue located in Glengarry County."" They host Blues music on Tuesday nights and other concerts typically during the weekend.",Requires Premium,https://www.facebook.com/profile.php?id=100064917728137,,,https://www.indieonthemove.com/venues/the-barn-alexandria-ontario,https://www.indieonthemove.com/venues/the-barn-alexandria-ontario,,,bar,,,,,False,,150.0,60.0,375.0,province_type_median,low
Lavigne Tavern,Lavigne,ON,P0H 1R0,"10521 Ontario 64, Lavigne, ON P0H 1R0",,https://lavignetavern.com/,"Music Venue, Pub, Open Mic","All Genres, Acoustic, Blues, Classic Rock, Country, Funk, Metal, R&B, Rock, Singer-Songwriter, Soft Rock, Soul, Top 40",80.0,19+,,"""Home of the best Wings in West Nipissing, and the finest Pizza North of Toronto. The Lavigne Tavern also presents the very best in live entertainment. With artists coming from all over North America to perform at this Oasis in the North."" They host live music Thursday-Saturday nights and on Sunday afternoons with Thursdays being reserved for open mic.",Requires Premium,https://www.facebook.com/LavigneTavern/,https://www.instagram.com/lavigne_tavern/,,https://www.indieonthemove.com/venues/lavigne-tavern-lavigne-ontario,https://www.indieonthemove.com/venues/lavigne-tavern-lavigne-ontario,,,bar,,,,,False,,80.0,80.0,80.0,known,known
Knox Hall,Greater Sudbury,ON,P3E 1B8,"73 Larch Street, Greater Sudbury, ON P3E 1B8",,https://www.knox.vip/,"Rental, Music Venue",All Genres,324.0,,,"""This beautiful venue is located in Downtown Sudbury housed in a Historical Building constructed as a Church in 1927. With a seating capacity of 324 including VIP Balcony Seats, your experience will be like no other in Northern Ontario. The venue also includes an 80 Seat Lower Lounge with optional 125 standing room."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/profile.php?id=100094239601038,https://www.instagram.com/knoxhallvip/,Kim Churchill; Mia Kelly; Jenn Grant; Aysanabee; Royal Wood; Fortunate Ones; Crystal Shawanda; At Dawn; Bobby Bazini; Mo Kenney,https://www.indieonthemove.com/venues/knox-hall-greater-sudbury-ontario,https://www.indieonthemove.com/venues/knox-hall-greater-sudbury-ontario,,,bar,46.4910462,-80.993866,5598.7,5598.7,False,479.8885714285714,324.0,324.0,324.0,known,known
Jazz Sudbury,Greater Sudbury,ON,P3E 1C1,"96 Larch Street, Greater Sudbury, ON P3E 1C1",,https://www.jazzsudbury.com/,Music Festival,Jazz,,,,"""Since its inception in 2009, Jazz Sudbury Festival has become the premier musical event in the North. Jazz Sudbury showcases talented, award-winning artists and exposes the community to the diverse and captivating genre that is jazz."" The festival takes place in early September.",Requires Premium,https://www.facebook.com/JazzSudbury/,https://www.instagram.com/jazzsudburyofficial,,https://www.indieonthemove.com/venues/jazz-sudbury-greater-sudbury-ontario,https://www.indieonthemove.com/venues/jazz-sudbury-greater-sudbury-ontario,,,festival,46.4915716,-80.9932649,6109.8,6109.8,False,733.176,530.0,250.0,600.0,model,high
The Grand,Greater Sudbury,ON,P3C 5B4,"28 Elgin Street, Greater Sudbury, ON P3C 5B4",,,Music Venue,All Genres,1000.0,19+,,"""Built in 1909, the over 100 year old dual auditorium theatre, has been transformed into the home of Sudbury's nightlife."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/Grandnightclub/,https://www.instagram.com/thegrandsudbury/,Strung Out; Tom Green; Alestorm; Twilight Force; greyhawk,https://www.indieonthemove.com/venues/the-grand-greater-sudbury-ontario,https://www.indieonthemove.com/venues/the-grand-greater-sudbury-ontario,,,theatre,46.4937121,-80.9960091,16090.9,16090.9,False,2758.4399999999996,1000.0,1000.0,1000.0,known,known
The National,Greater Sudbury,ON,P3C 2X1,"477 Notre Dame Avenue, Greater Sudbury, ON P3C 2X1",,https://nationaltavern.ca/,"Bar, Music Venue","Country, Honky Tonk",,19+,,"""A blast from the past, returning to its roots as the country bar we all know and love."" They host live music on the weekends [Saturdays and Sundays].",Requires Premium,https://www.facebook.com/profile.php?id=61555155915765,,,https://www.indieonthemove.com/venues/the-national-greater-sudbury-ontario,https://www.indieonthemove.com/venues/the-national-greater-sudbury-ontario,,,bar,46.5038297,-80.9872223,4400.3,4400.3,False,754.3371428571428,135.0,90.0,535.0,model,high
Lounge 390,Greater Sudbury,ON,P3B 1B1,"390 Elgin Street, Greater Sudbury, ON P3B 1B1",,,"Bar, Music Venue, Lounge","All Genres, Acoustic, Alternative, Classic Rock, Country, Indie, Rock, Singer-Songwriter",,19+,,"""The best bar and live music venue in the heart of Sudbury, Ontario."" They host live music Wednesday-Saturday nights.",Requires Premium,,https://www.instagram.com/lounge_390/,Phantom Radio Chatter; Ace of Wands; Fortunate Losers; Sam Singer; Iron Kingdom; Skrizzly Adams,https://www.indieonthemove.com/venues/lounge-390-greater-sudbury-ontario,https://www.indieonthemove.com/venues/lounge-390-greater-sudbury-ontario,,,bar,46.4865521,-80.9887234,15913.1,3978.3,True,681.9942857142858,140.0,90.0,515.0,model,medium
M.I.C. Canadian Eatery & Whisky Pub,Greater Sudbury,ON,P3A 5K4,"200 Falconbridge Road, Greater Sudbury, ON P3A 5K4",,https://micrestaurant.ca/,"Bar, Restaurant, Music Venue, Outdoor Performance Space, Seasonal","Acoustic, Singer-Songwriter",,,,"""Casual place decorated with photos of Canadian icons, offering a long whisky list & comfort food."" Shows take place outside on their patio every Wednesday, June - August.",Requires Premium,https://www.facebook.com/micsudbury/,https://www.instagram.com/m.i.c.canadianeatery/,,https://www.indieonthemove.com/venues/mic-canadian-eatery-whisky-pub-greater-sudbury-ontario,https://www.indieonthemove.com/venues/mic-canadian-eatery-whisky-pub-greater-sudbury-ontario,,,bar,46.5288792,-80.9127121,593.4,593.4,False,50.86285714285714,55.0,35.0,175.0,model,high
Overtime Sports Bar and Grill,Greater Sudbury,ON,P3A 2T7,"941 Notre Dame Avenue, Greater Sudbury, ON P3A 2T7",,https://www.sudburysportsbar.com/,"Bar, Restaurant, Music Venue","Acoustic, Singer-Songwriter",,,,"""Sudbury's BEST eating & drinking experience! Great atmosphere, great service & homemade food."" They host live music on Friday nights only. The venue becomes 19+ later in the evening.",Requires Premium,https://www.facebook.com/overtimesportsbarsudbury/,,,https://www.indieonthemove.com/venues/overtime-sports-bar-and-grill-greater-sudbury-ontario,https://www.indieonthemove.com/venues/overtime-sports-bar-and-grill-greater-sudbury-ontario,,,bar,46.5178452,-80.9848654,4317.8,4317.8,False,370.09714285714284,140.0,105.0,330.0,model,high
About Live Music,Burk's Falls,ON,P0A 1C0,"60 Ontario Street Unit 1, Burk's Falls, ON P0A 1C0",,https://www.aboutlivemusic.com/,Music Venue,"All Genres, Acoustic",,,,"""About Live Music is an intimate music venue that provides a unique and personal experience for music lovers. The venue is designed to bring the audience in close, with a cozy and inviting atmosphere that encourages connection and engagement."" Shows are held at least once a month, Friday - Sunday.",Requires Premium,https://www.facebook.com/profile.php?id=100082537280964,https://www.instagram.com/aboutlivemusic/,,https://www.indieonthemove.com/venues/about-live-music-burks-falls-ontario,https://www.indieonthemove.com/venues/about-live-music-burks-falls-ontario,,,venue,,,,,False,,280.0,110.0,700.0,province_type_median,low
Nickel City,Greater Sudbury,ON,P3C 1J2,"252 Hazel Street, Greater Sudbury, ON P3C 1J2",,,"Bar, Music Venue","Classic Rock, Country, Dance, Pop, Rock, Top 40",,19+,,"""Your favourite local sports bar, where you're only a stranger once. Come on down to enjoy pool, live music, and laughs all around."" They host shows on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/nickelcityinn/,,,https://www.indieonthemove.com/venues/nickel-city-greater-sudbury-ontario,https://www.indieonthemove.com/venues/nickel-city-greater-sudbury-ontario,,,bar,46.48767,-81.0049561,5296.9,5296.9,False,908.04,175.0,110.0,435.0,model,high
YES Theatre,Greater Sudbury,ON,P3E 3E7,"170 Shaughnessy Street, Greater Sudbury, ON P3E 3E7",,https://yestheatre.com/,"Music Venue, Rental",All Genres,289.0,,,"""YES Theatre produces live theatrical events. Of which includes concerts, musicals, plays and more."" Shows can be held any night of the week in either of their two venues: Sudbury Theater Centre and The Refettorio. Age requirements are event dependent.",Requires Premium,https://www.facebook.com/YESTheatre/,https://www.instagram.com/yestheatresudbury/,,https://www.indieonthemove.com/venues/yes-theatre-greater-sudbury-ontario,https://www.indieonthemove.com/venues/yes-theatre-greater-sudbury-ontario,,,theatre,46.48903,-80.9900051,18669.8,18669.8,False,1600.2685714285712,289.0,289.0,289.0,known,known
The Night Owl,Greater Sudbury,ON,P3E 3N5,"158 Elgin Street, Greater Sudbury, ON P3E 3N5",,https://www.nightowl.vip/,"Speakeasy, Music Venue, Jazz & Blues",Jazz,,19+,,"""The Downtown Sudbury Hideaway with a Certain Cachet."" They host live Jazz music every Thursday night.",Requires Premium,https://www.facebook.com/thenightowl.vip,https://www.instagram.com/nightowl.vip,,https://www.indieonthemove.com/venues/the-night-owl-greater-sudbury-ontario,https://www.indieonthemove.com/venues/the-night-owl-greater-sudbury-ontario,,,venue,46.4883137,-80.993277,8760.3,8760.3,False,1051.2359999999999,240.0,135.0,500.0,model,high
NV Music Hall,Thunder Bay,ON,P7B 1A6,"228 Red River Road, Thunder Bay, ON P7B 1A6",,https://www.nvmusichall.com/,"Music Venue, Bar",All Genres,,18+,,"""NV Music Hall is downtown Thunder Bay's premium entertainment spot."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/NVMusicHall,,,https://www.indieonthemove.com/venues/nv-music-hall-thunder-bay-ontario,https://www.indieonthemove.com/venues/nv-music-hall-thunder-bay-ontario,,,bar,48.4353949,-89.220767,7450.9,7450.9,False,638.6485714285715,295.0,245.0,615.0,model,high
Live From the Rock Folk Festival,Red Rock,ON,P0T 2P0,"42 Salls Street, Red Rock, ON P0T 2P0",,https://livefromtherockfolkfestival.com/,Music Festival,"All Genres, Folk",,,,"""The Live from the Rock Folk Festival is held every August in Red Rock, Ontario.""",Requires Premium,https://www.facebook.com/livefromtherockfolkfestival/,https://www.instagram.com/lftrfolkfest/,,https://www.indieonthemove.com/venues/live-from-the-rock-folk-festival-red-rock-ontario,https://www.indieonthemove.com/venues/live-from-the-rock-folk-festival-red-rock-ontario,,,festival,48.9402165,-88.2606999,7321.3,7321.3,False,439.27799999999996,445.0,295.0,695.0,model,high
The Outpost,Thunder Bay,ON,P7B 5E1,"955 Oliver Road, Thunder Bay, ON P7B 5E1",,https://lusu.ca/services-and-support/the-outpost/,"Night Club, Music Venue, Pub",All Genres,715.0,,,"""We are your friendly campus pub. Offering great food, amazing music, and a fantastic atmosphere to unwind after a long day of classes. With over 10,000 square feet of space, it’s one of the largest campus bars in Canada."" Shows can held any night of the week.",Requires Premium,https://www.facebook.com/TheOutpostCampusPub/,https://www.instagram.com/outpostpub/,,https://www.indieonthemove.com/venues/the-outpost-thunder-bay-ontario,https://www.indieonthemove.com/venues/the-outpost-thunder-bay-ontario,,,club,48.4203116,-89.2623395,157179.1,39294.8,True,3368.1257142857144,715.0,715.0,715.0,known,known
UpFront Café,Belleville,ON,K8N 2Z9,"313 Front Street, Belleville, ON K8N 2Z9",,https://upfrontcafe.ca/,"Music Venue, Cafe",All Genres,,,,"""A licensed Cafe and Event space with live music weekly (mostly open jam on Thursdays, shows on Fridays and Saturdays, and Blues jam on Sundays).""",Requires Premium,https://www.facebook.com/UpFrontGallery,,,https://www.indieonthemove.com/venues/upfront-cafe-belleville-ontario,https://www.indieonthemove.com/venues/upfront-cafe-belleville-ontario,,,restaurant,44.1669549,-77.3854343,1829.0,1829.0,False,73.16,90.0,60.0,325.0,model,high
Mort's Pub,Ottawa,ON,K2H5Y7,"2011 Robertson Road, Ottawa, ON K2H5Y7",,https://www.mortspub.com/,"Music Venue, Pub","Acoustic, Classic Rock, Dance, Pop, Rock, Top 40",,,,This pub hosts an open jam on Thursday nights and shows on Saturday nights.,Requires Premium,https://www.facebook.com/profile.php?id=100054537816632,https://www.instagram.com/morts.pub,,https://www.indieonthemove.com/venues/morts-pub-ottawa-ontario,https://www.indieonthemove.com/venues/morts-pub-ottawa-ontario,,,bar,45.3248275,-75.827418,1139.6,1139.6,False,97.67999999999998,195.0,160.0,440.0,model,high
Highlands Music Festival,Palmer Rapids,ON,K0J 2E0,"Camp Walden, 38483 ON-28, Palmer Rapids, ON K0J 2E0",,https://highlandsmusicfestival.ca/,Music Festival,"All Genres, Folk, Indie",,,,"""Indie-Folk Festival at Summer Camp."" The festival takes place in late September.",Requires Premium,,https://www.instagram.com/highlandsmusicfestival/,,https://www.indieonthemove.com/venues/highlands-music-festival-palmer-rapids-ontario,https://www.indieonthemove.com/venues/highlands-music-festival-palmer-rapids-ontario,Ontario,2026-05-03T13:34:57,festival,,,,,False,,285.0,115.0,710.0,province_type_median,low
Duffy's Tavern,Toronto,ON,M6H 1N3,"1238 Bloor Street West, Toronto, ON M6H 1N3",,http://duffystavern.ca/,"Music Venue, Bar, Restaurant",All Genres,200.0,19+,,"""Toronto's best live music venue / neighbourhood bar/restaurant. Two live stages, all sporting events, 10 TV's, pool tables, table football, and lots more!"" Live music is held on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/duffystoronto/,,Ready to Strike; Nolan Hubbard; AloneKitty; Deer Fang; clay pigeon,https://www.indieonthemove.com/venues/duffys-tavern-toronto-ontario,https://www.indieonthemove.com/venues/duffys-tavern-toronto-ontario,Ontario,2026-05-03T13:35:02,bar,43.6591456,-79.4396096,778.3,778.3,False,66.71142857142857,200.0,200.0,200.0,known,known
Rum Runners,London,ON,N6A 1G7,"176 Dundas Street, London, ON N6A 1G7",,,Music Venue,All Genres,350.0,,,"""Rum Runners, which opened in 2005 is located within the walls of the London Music Hall. It has hosted acts such as the Arkells, illScarlett, & Cancer Bats."" Most shows take place Thursday-Sunday nights.",Requires Premium,https://www.facebook.com/rumrunnerslondon/,,Destroyer; Strung Out; Limits of Approach; Alpha Wolf; Gideon; Mugshot; Resolve; Alpha Wolf; Lovers; Cat Clyde,https://www.indieonthemove.com/venues/rum-runners-london-ontario,https://www.indieonthemove.com/venues/rum-runners-london-ontario,Ontario,2026-05-03T13:35:39,venue,42.9840068,-81.2486155,92598.0,23149.5,True,1388.9699999999998,350.0,350.0,350.0,known,known
Robo Lounge,Ottawa,ON,K1S 5Y2,"275 Carling Avenue, Ottawa, ON K1S 5Y2",,https://www.barrobo.com/therobolounge/,"Music Venue, Bar, Cafe, Lounge","Acoustic, Jazz, Singer-Songwriter",150.0,19+,,"""An intimate live music venue inside The Clemow."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/profile.php?id=61574081203184,https://www.instagram.com/therobolounge,,https://www.indieonthemove.com/venues/robo-lounge-ottawa-ontario,https://www.indieonthemove.com/venues/robo-lounge-ottawa-ontario,Ontario,2026-05-03T13:35:44,bar,45.354168,-75.8488973,2735.7,2735.7,False,234.48857142857142,150.0,150.0,150.0,known,known
POP Montreal,Montreal,QC,H2V 4H2,"Montreal, QC H2V 4H2",,https://popmontreal.com/,Music Festival,All Genres,,,5.0,"""POP Montreal International Music Festival is an annual not-for-proﬁt curated cultural event that champions independence in the arts by presenting emerging and celebrated artistic talents from around the world."" The festival takes place in late September/early October.",Requires Premium,https://www.facebook.com/popmontreal/,https://www.instagram.com/popmontreal/,,https://www.indieonthemove.com/venues/pop-montreal-montreal-quebec,https://www.indieonthemove.com/venues/pop-montreal-montreal-quebec,Quebec,2026-05-03T13:36:12,festival,45.5031824,-73.5698065,2621.5,2621.5,False,157.29,120.0,110.0,340.0,model,high
Theatre Rialto,Montreal,QC,H2V 4H2,"5723 Avenue du Parc, Montreal, QC H2V 4H2",,https://www.theatrerialto.ca/,"Music Venue, Rental",All Genres,1165.0,,5.0,"""In March 2010, husband and wife duo Ezio Carosielli and Luisa Sassano purchased the iconic Rialto Theater located at 5723 ave. du Parc with the intention of restoring it to its original beauty and grandeur. The Rialto Theater is now an open, inclusive and multicultural center for performing arts that offers a platform for emerging local and international artists. It also serves as an event venue that hosts various private and corporate events including trade shows, conferences, product launches, holiday parties, galas, benefit concerts, fundraisers, cocktails, conventions, recognition & award shows, graduation balls, engagement parties, weddings, anniversaries, birthday celebrations, movie productions, photoshoots and more. Over 20,000 people walk through the Rialto's doors every year to take part in tours of the theater."" Live music can be held any night of the week.",Requires Premium,https://www.facebook.com/theatrerialto,https://www.instagram.com/theatrerialto/,Sal Da Vinci; Lee Harris; Davor Bozic; Tinariwen; K-Pop Infinity,https://www.indieonthemove.com/venues/theatre-rialto-montreal-quebec,https://www.indieonthemove.com/venues/theatre-rialto-montreal-quebec,Quebec,2026-05-03T13:36:16,theatre,45.5237019,-73.6047077,10406.5,10406.5,False,891.9857142857143,1165.0,1165.0,1165.0,known,known
Pub St-Alexandre,Quebec City,QC,G1R 1S3,"1087 Rue Saint-Jean, Quebec City, QC G1R 1S3",,https://www.pubstalexandre.com/,"Music Venue, Restaurant, Pub","Blues, Folk, Jazz, Pop",,,,"""In the heart of Old Quebec...a tradition."" The host live music 365 days a year.",Requires Premium,https://www.facebook.com/PubStAlexandre/,,,https://www.indieonthemove.com/venues/pub-st-alexandre-quebec-city-quebec,https://www.indieonthemove.com/venues/pub-st-alexandre-quebec-city-quebec,Quebec,2026-05-03T13:36:22,bar,46.8136414,-71.2109871,2016.2,2016.2,False,345.63428571428574,300.0,155.0,350.0,model,high
Barfly,Montreal,QC,H2W 1Y8,"4062 St. Laurent Boulevard, Montreal, QC H2W 1Y8",,,"Music Venue, Bar",All Genres,,18+,,"""Bar & Live Music Venue."" While most shows take place Thursday-Saturday nights, they can be held any night of the week.",Requires Premium,https://www.facebook.com/BarflyMtl/,https://www.instagram.com/barflylive/,Zach Bellas; Asia Ruby; Focused,https://www.indieonthemove.com/venues/barfly-montreal-quebec,https://www.indieonthemove.com/venues/barfly-montreal-quebec,Quebec,2026-05-03T13:36:27,bar,45.5170387,-73.579944,1241.5,1241.5,False,106.41428571428571,115.0,100.0,265.0,model,high
Le Studio TD,Montreal,QC,H2X 2A3,"305 Sainte Catherine Street West, Montreal, QC H2X 2A3",,https://lestudiotd.com/,Music Venue,All Genres,650.0,,,"""Performance hall in the heart of the Quartier des spectacles."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/LeStudioTD/,https://www.instagram.com/lestudiotd/,Asim Azhar; Searows; Jordan Patterson; Jordan Patterson; Jimmy Moore; Jimmy Moore; Jimmy Moore; INJI; INJI; Statzz,https://www.indieonthemove.com/venues/le-studio-td-montreal-quebec,https://www.indieonthemove.com/venues/le-studio-td-montreal-quebec,Quebec,2026-05-03T13:36:32,venue,,,,,False,,650.0,650.0,650.0,known,known
The Wheel Club,Montreal,QC,H4B 2L7,"3373 Cavendish Boulevard, Montreal, QC H4B 2L7",,https://www.wheelclubndg.com/,"Music Venue, Open Mic",All Genres,,,,"""The Wheel Club is a historical, one-of-a-kind, not-for-profit club in Montreal's borough of NDG. Its mission is to promote community accessibility to artistic performance, and to ensure all genres of music and performance art are available to all ages within our culturally diverse and demographically rich community of NDG and Greater Montreal."" Most shows take place Friday - Sunday, but they are flexible. Mondays are reserved for open mic.",Requires Premium,https://www.facebook.com/wheelclubndg/,https://www.instagram.com/wheelclubndg,Cliff Stevens,https://www.indieonthemove.com/venues/the-wheel-club-montreal-quebec,https://www.indieonthemove.com/venues/the-wheel-club-montreal-quebec,Quebec,2026-05-03T13:36:36,club,45.4634534,-73.6278766,9866.2,2466.6,True,211.4228571428571,140.0,90.0,275.0,model,medium
Le Ministère,Montreal,QC,H2T 1R2,"4521 Boulevard Saint-Laurent, Montreal, QC H2T 1R2",,https://leministere.ca/,"Music Venue, Rental",All Genres,288.0,,,"""Performance venue located in a heritage building on St-Laurent Boulevard."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/leministere.ca/,https://www.instagram.com/leministere.ca/,Laurence Castera; Greenhouse Ensemble; Sessa; Kolumbo; Webster; Olie N.; Mélisande (QC); Jonathan Houde; Le Diable à Cinq; ANDRES ACOSTA,https://www.indieonthemove.com/venues/le-ministere-montreal-quebec,https://www.indieonthemove.com/venues/le-ministere-montreal-quebec,Quebec,2026-05-03T13:36:39,venue,45.5204539,-73.5868242,3091.5,3091.5,False,185.48999999999998,288.0,288.0,288.0,known,known
