Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL
The Hodder,Thunder Bay,ON,P7A 1V3,"481 Hodder Avenue, Thunder Bay, ON P7A 1V3",N/A,N/A,"Music Venue, Bar, Pub",All Genres,N/A,19+,N/A,"""Neighbourhood Bar Serving Current River and Surrounding Area Since 1939! Great Prices, Friendly Staff, and Fantastic Patrons!"" Live music is held sporadically on Saturday nights.",Requires Premium,https://www.facebook.com/TheHODDER/,N/A,N/A,https://www.indieonthemove.com/venues/the-hodder-thunder-bay-ontario
BSMT 254,Toronto,ON,M6H 3X9,"254 Lansdowne Avenue, Toronto, ON M6H 3X9",N/A,https://www.bsmt254.com/,"Music Venue, Rental",All Genres,100,19+,N/A,"""West end Toronto live music and DJ venue with top sound."" Most shows take place on Friday and Saturday nights. Age requirement can vary.",Requires Premium,https://www.facebook.com/bsmt254/,https://www.instagram.com/bsmt254toronto,Khary; Magugu; The City Gates; Golden Apes; Fotocrime; The Convenience; Helm; Black Budget; Myer Clarity; Fresh Kils,https://www.indieonthemove.com/venues/bsmt-254-toronto-ontario
Red Bird Live,Ottawa,ON,K1S 3X7,"1165 Bank Street, Ottawa, ON K1S 3X7",N/A,https://www.redbirdlive.ca/,"Music Venue, Open Mic, Listening Room",All Genres,80,18+,N/A,They host shows Thursday-Sunday nights with a Bluegrass jam on Mondays and open mic/open jams on Tuesdays and Wednesdays. Events can also be 19+ depending on what's arranged.,Requires Premium,https://www.facebook.com/RedBirdLive/,N/A,Gary Louris; Gary Louris; Minor Gold; Lynne Hanson; Steve Poltz; Steve Poltz; The Suitcase Junket; Dave Gunning; Isaac Baronikian; Mama's Broke,https://www.indieonthemove.com/venues/red-bird-live-ottawa-ontario
The Moonshine Cafe,Oakville,ON,L6K 3C7,"568 Kerr Street, Oakville, ON L6K 3C7",N/A,https://www.themoonshinecafe.com/,"Music Venue, Listening Room",All Genres,60,N/A,N/A,"""Established in 2006."" They host live entertainment Monday-Saturday nights with Mondays being reserved for jam night, Tuesdays for open mic, and Wednesdays for Country music.",Requires Premium,https://www.facebook.com/themoonshinecafe,https://www.instagram.com/moonshinecafe_oakville/,Nicholas Campbell; Wilson & The Cast Aways; Hell Bent Rockers; anddre mafra; Josh Taerk; The Gary Kendall Trio feat: Teddy Leonard & Tyler Burgess; Rick St. Clair; Dave Gunning; Lily Sazz - Musician,https://www.indieonthemove.com/venues/the-moonshine-cafe-oakville-ontario
Stonewalls Restaurant,Hamilton,ON,L8R 2X9,"339 York Blvd, Hamilton, ON L8R 2X9",N/A,https://www.stonewallshamilton.com/,"Music Venue, Bar, Restaurant",All Genres,N/A,N/A,N/A,"""Stonewalls is Hamilton’s hottest music venue with all your favorite pub classics."" Most shows take place Friday-Sunday nights, but Thursdays are also possible.",Requires Premium,https://www.facebook.com/Stonewallshamilton,https://www.instagram.com/stonewallshamilton/,N/A,https://www.indieonthemove.com/venues/stonewalls-restaurant-hamilton-ontario
Bridgeworks,Hamilton,ON,L8R 0A6,"200 Caroline Street North, Hamilton, ON L8R 0A6",N/A,https://bridgeworks.ca/,Music Venue,All Genres,500,N/A,N/A,"""Bridgeworks is a multi-functional event space, focusing on community, arts and special events. The space is two large 6,000+ sq ft rooms, with break-out rooms, full functioning kitchen, bar/serving area, washrooms and encompasses a net capacity of 500 people."" Shows can be held any night of the week. Age requirement can vary.",Requires Premium,https://www.facebook.com/bridgeworksca,https://www.instagram.com/bridgeworkscentral/,Chest Fever Official; Chest Fever; Cam Kahin; Born In The Eighties; John Shambles; Elliott BROOD; portrayal of guilt; Street Sects; Wintersleep; Weird Nightmare,https://www.indieonthemove.com/venues/bridgeworks-hamilton-ontario
Mills Hardware,Hamilton,ON,L8N 1A9,"95 King Street East, Hamilton, ON L8N 1A9",N/A,https://www.millshardware.ca/,Music Venue,All Genres,150,19+,N/A,"""A community-based performance space for art, theatre, dance, live music, speakers, and more."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/millshardware/,https://www.instagram.com/millshardware/,Bealby Point; MIINA; Dana Sipos; The OBGMs; Brendan Philip; The Effens; The Deep Dark Woods; Antonio Larosa; Dawson Gray; The Thick,https://www.indieonthemove.com/venues/mills-hardware-hamilton-ontario
The Gasworks,Hamilton,ON,L8R 2N4,"141 Park Street North, Hamilton, ON L8R 2N4",N/A,https://www.thegasworks.ca/,"Music Venue, Rental",All Genres,180,N/A,N/A,"""Hamilton's cultural hub for arts, education, and community...we host community meetings, weddings, concerts, poetry readings, theatre productions and much more!"" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/thegasworkshamilton/,https://www.instagram.com/thegasworkshamilton,N/A,https://www.indieonthemove.com/venues/the-gasworks-hamilton-ontario
Doors: Taco Joint & Metal Bar,Hamilton,ON,L8P 3N3,"56 Hess Street South, Hamilton, ON L8P 3N3",N/A,N/A,"Music Venue, Pub","All Genres, Metal, Punk",75,19+,N/A,"""Great music venue in the heart of downtown Hamilton. Great craft beers and tex-mex style food."" Shows can be held Wednesday-Monday nights.",Requires Premium,https://www.facebook.com/doorsmetalbar,https://www.instagram.com/doorspubhamilton,Castle; Killotine; Gomer; Bloody Blue Darlings; J FU; Teenage Bubblegums; Summer's Brother; Thunder Glove,https://www.indieonthemove.com/venues/doors-taco-joint-metal-bar-hamilton-ontario
The Baby G,Toronto,ON,M6K 1T8,"1608 Dundas Street West, Toronto, ON M6K 1T8",N/A,http://thebabyg.com/,"Music Venue, Rental",All Genres,145,19+,N/A,"""The Baby G is a live music venue."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/TheBabyGToronto/,https://www.instagram.com/thebabygtoronto/,Bleary Eyed; Zzzahara; CHRIST DILLINGER; BnS; Dana Sipos; MIINA; bug crush; Ritt Momney; B.A. Johnston; Sons of Butcher,https://www.indieonthemove.com/venues/the-baby-g-toronto-ontario
The Ballroom,Toronto,ON,M5V 2E4,"145 John Street, Toronto, ON M5V 2E4",N/A,https://www.theballroom.ca/,"Music Venue, Bar",All Genres,200,19+,N/A,"""Sports, Bowl, and Rock n' Roll! DJ every Thursday and Friday. Live Music on Saturdays.""",Requires Premium,https://www.facebook.com/TheBallroomBowl/,https://www.instagram.com/theballroombowl/,N/A,https://www.indieonthemove.com/venues/the-ballroom-toronto-ontario
LOLA,Toronto,ON,M5T 2J9,"40 Kensington Avenue, Toronto, ON M5T 2J9",N/A,N/A,"Music Venue, Outdoor Performance Space, Open Mic",All Genres,50,19+,N/A,They host shows on weekends both during the day and at night as well as open mic on Monday nights. Performances can take place inside or outside.,Requires Premium,https://www.facebook.com/groups/2601683113313156,N/A,Ron Leary,https://www.indieonthemove.com/venues/lola-toronto-ontario
Grossman's Tavern,Toronto,ON,M5T 2G3,"377 Spadina Avenue, Toronto, ON M5T 2G3",N/A,https://grossmanstavern.com/,"Music Venue, Bar, Restaurant, Jazz & Blues","Blues, Jazz, Roots Music",N/A,19+,N/A,"""Open since 1943, Grossman’s Tavern is one of the city’s longest-running live music venues, and Toronto’s self-described “Home of the Blues.”"" They host live music Wednesday-Sunday nights with Sundays being reserved for a regular performer and Jazz jam.",Requires Premium,https://www.facebook.com/GrossmansTavern/,https://www.instagram.com/grossmanstavern/,Johnny Burgin,https://www.indieonthemove.com/venues/grossmans-tavern-toronto-ontario
Wildflower Social,Niagara Falls,ON,L2G 3V9,"6361 Fallsview Boulevard, Niagara Falls, ON L2G 3V9",N/A,https://wildflowerniagara.com/,"Music Venue, Lounge, Hotel","Acoustic, Classic Rock, Country, Funk, Pop, Rock, Top 40",N/A,21+,N/A,Formerly Spyce Lounge. They host live music nightly.,Requires Premium,https://www.facebook.com/wildflowersocialniagara,https://www.instagram.com/wildflowersocialniagara/,N/A,https://www.indieonthemove.com/venues/wildflower-social-niagara-falls-ontario
TD Music Hall,Toronto,ON,M5B 1T7,"178 Victoria Street, Toronto, ON M5B 1T7",N/A,https://tdmusichall.com/,Music Venue,All Genres,500,N/A,N/A,"""TD Music Hall is a state-of-the-art 500-capacity performance space located on the 4th floor of Allied Music Centre."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/TDMusicHall/,https://www.instagram.com/tdmusichall,Haley Heynderickx; Max García Conover; Jenn Grant; Zinadelphia; Good Grief; Ariel Posen; Wendlo; Mallory Johnson; Flore Laurentienne; Rose Gray,https://www.indieonthemove.com/venues/td-music-hall-toronto-ontario
The Music Hall,Hamilton,ON,L8P 1H2,"24 Main Street West, Hamilton, ON L8P 1H2",N/A,https://musichallhamilton.ca/,"Music Venue, Rental",All Genres,250,N/A,N/A,"""A socially-engaged venue for culture and community in the heart of Hamilton."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/musichallhamont,https://www.instagram.com/musichallhamont/,Here Come the Mummies,https://www.indieonthemove.com/venues/the-music-hall-hamilton-ontario
Overflow Brewing Company,Ottawa,ON,K1V 8B9,"2477 Kaladar Avenue, Ottawa, ON K1V 8B9",N/A,https://overflowbeer.com/,"Music Venue, Brewery",All Genres,400,19+,N/A,"""Brewery | Tap Room | Live Music venue in Ottawa. Putting fresh, great-tasting beer in your hand."" Most shows take place Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/overflowbeer,https://instagram.com/overflowbrewingco,Cancer Bats; ANCIIENTS; TEETH; chastity; Kingfisher; A Wilhelm Scream; MAJORS; Strung Out; Alpha Wolf; Gideon,https://www.indieonthemove.com/venues/overflow-brewing-company-ottawa-ontario
The Burlington Performing Arts Centre,Burlington,ON,L7S 1T7,"440 Locust Street, Burlington, ON L7S 1T7",N/A,https://burlingtonpac.ca/,"Music Venue, Rental",All Genres,718,N/A,N/A,"""The Burlington Performing Arts Centre (BPAC), located in beautiful downtown Burlington, is a cultural hub of the community and offers the best in the performing arts to the citizens of Burlington."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/BurlingtonPAC/,https://www.instagram.com/burlington_pac/,Musician Jesse Cook; The North Sound,https://www.indieonthemove.com/venues/the-burlington-performing-arts-centre-burlington-ontario
Neat Coffee Shop,Burnstown,ON,K0J 1G0,"1715 Calabogie Road, Burnstown, ON K0J 1G0",N/A,https://neatmusicandcoffee.ca/,"Music Venue, Restaurant, Cafe",All Genres,N/A,N/A,N/A,"""Equal parts music, food, coffee, gardens and community."" Most shows take place Thursday-Sunday nights, but Tuesdays and Wednesdays are also possible.",Requires Premium,https://www.facebook.com/NeatCoffeeShop/,https://www.instagram.com/neatcafe/,The Deep Dark Woods; MIINA; Dana Sipos; Aysanabee; Aysanabee; The Pursuit of Happiness; The Pursuit of Happiness; Brother Elsey; Good Lovelies; Good Lovelies,https://www.indieonthemove.com/venues/neat-coffee-shop-burnstown-ontario
Ground Control,Toronto,ON,M6K 1L6,"1279 Queen Street West, Toronto, ON M6K 1L6",N/A,N/A,"Music Venue, Night Club, Bar","All Genres, Dance, Electronic, Gothic, Indie, Industrial, New Wave, Pop, Post Punk",330,19+,N/A,"""A new music venue & cocktail lounge experience inspired by David Bowie."" Most shows take place Sunday-Thursday nights, but Fridays and Saturdays are possible as long as the show is over by 10 PM.",Requires Premium,https://www.facebook.com/GroundControlToronto/,https://www.instagram.com/groundcontroltoronto,DJ LAZARUS,https://www.indieonthemove.com/venues/ground-control-toronto-ontario
Dominion Tavern,Ottawa,ON,K1N 5S7,"33 York Street, Ottawa, ON K1N 5S7",N/A,N/A,"Music Venue, Bar","All Genres, Alternative, Garage, Indie, Metal, Punk, Rock",150,19+,N/A,"""Brews • pool tables • punk, metal & alt-rock."" While most shows take place on Friday and Saturday nights, they can be held any night of the week.",Requires Premium,https://www.facebook.com/DominionTavern,https://www.instagram.com/dominiontavern/,Omnivide; Chemicide; Lycanthro; Castle; Black Galaxy; Black Absinthe; Killotine; The Riptides; Huntingtons; Burn The Evidence,https://www.indieonthemove.com/venues/dominion-tavern-ottawa-ontario
House of TARG,Ottawa,ON,K1S 3W9,"1077 Bank Street, Ottawa, ON K1S 3W9",N/A,http://www.houseoftarg.com/,"Music Venue, Arcade","All Genres, Alternative, Indie, Metal, Progressive, Punk, Rock",180,19+,N/A,"""Ottawa's only true classic arcade. 30+ pinball & classic Arcade games, a tantalizing perogi menu Plus the best live Indie, Punk, Metal, Synth & Rock bands we find. All Ages welcome before the show."" Most shows take place Wednesday-Saturday nights.",Requires Premium,https://www.facebook.com/houseoftarghouseoftarg/,https://www.instagram.com/houseoftarg/,Slo' Tom and The Handsome Devils; The Meteors; MOONBEAN Music; Thee Male Nurse; Madeline Goldstein; Class of 91; Leæther Strip; Antigen Shift; DeeCRACKS; The Riptides,https://www.indieonthemove.com/venues/house-of-targ-ottawa-ontario
Orillia Opera House,Orillia,ON,L3V 3A6,"20 Mississaga Street West, Orillia, ON L3V 3A6",N/A,https://www.orilliaoperahouse.ca/,"Music Venue, Rental",All Genres,677,N/A,N/A,"""The largest professional performing arts venue north of Toronto, the Orillia Opera House is home to some of the finest acoustics around - from live theatre to roaring concerts."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/OrilliaOperaHouse/,https://www.instagram.com/orilliaoperahouse/,Tom Green; Jacob Moon; Marc Jordan; Garnetta Cromwell & Dagroovmasters,https://www.indieonthemove.com/venues/orillia-opera-house-orillia-ontario
Showplace Performance Centre,,ON,K9J 3H2,"290 George Street North, Ontario K9J 3H2",N/A,https://www.showplace.org/,"Music Venue, Rental",All Genres,647,N/A,N/A,"""Peterborough's regional centre for the performing arts since 1996, with a mission to present, promote, and sustain the performing arts."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/PtboShowplace/,https://www.instagram.com/ptboshowplace/,Musician Jesse Cook; James Otto; Elyse Saunders; Tara Shannon,https://www.indieonthemove.com/venues/showplace-performance-centre-peterborough-ontario
Trout Forest Music Festival,Ear Falls,ON,P0V 1T0,"Waterfront Park, Ear Falls, ON P0V 1T0",N/A,https://www.troutfest.com/,Music Festival,All Genres,N/A,N/A,N/A,"""Always on the second full weekend of August.""",Requires Premium,https://www.facebook.com/groups/297473196995649/,https://www.instagram.com/troutforestmusicfestival/,N/A,https://www.indieonthemove.com/venues/trout-forest-music-festival-ear-falls-ontario
Wilno Tavern Restaurant,Wilno,ON,K0J 2N0,"17589 ON-60, Wilno, ON K0J 2N0",N/A,https://wilnotavern.com/,"Music Venue, Restaurant","Acoustic, Americana, Blues, Classic Rock, Country, Folk, Jazz, Rock, Singer-Songwriter",N/A,N/A,N/A,"""Nestled in the gentle hills of the Madawaska Valley, the Wilno Tavern Restaurant has been offering exceptional hospitality for over 100 years."" They host live music on Wednesday, Friday and Saturday nights with Wednesdays being reserved for regular Blues acts and every 1st and 3rd Friday for a Country jam.",Requires Premium,https://www.facebook.com/WilnoTavernRestaurant/,https://www.instagram.com/wilnotavernrestaurant/,N/A,https://www.indieonthemove.com/venues/wilno-tavern-restaurant-wilno-ontario
The Hub,Kitchener,ON,N2G 1A7,"125 King Street West, Kitchener, ON N2G 1A7",N/A,https://www.thehubkw.com/,Music Venue,All Genres,400,19+,N/A,"""Formerly known as Wax Nightclub."" Shows can be held any night of the week. This is an event-based venue, so they are only open if there is a show.",Requires Premium,https://www.facebook.com/thehubkitchener,https://www.instagram.com/thehub_kw/,Gabriel Rutledge,https://www.indieonthemove.com/venues/the-hub-kitchener-ontario
Junction Underground,Toronto,ON,M6P 1Z1,"2907 Dundas Street West, Toronto, ON M6P 1Z1",N/A,https://junctionunderground.ca/,Music Venue,All Genres,150,19+,N/A,"""The Junction Underground is Toronto’s newest west end venue. Built with locals in mind it is open for all to enjoy. Alex SenGupta (The Lakeview, Ding A Wing, High Park Cannabis Co.) and Drago Nagoda (High Park Cannabis Co.), who grew up in the area, hope to bring back some fun times in the former Junction City Music Hall."" Shows can take place Thursday-Sunday nights.",Requires Premium,https://www.facebook.com/JunctionUndergroundToronto/,https://www.instagram.com/junctionundergroundtoronto/,ALEX EXISTS; Skaface; Rat Grenade; Streets To Ourselves,https://www.indieonthemove.com/venues/junction-underground-toronto-ontario
Tapestry,Toronto,ON,M5T 2L6,"224 Augusta Avenue, Toronto, ON M5T 2L6",N/A,N/A,"Music Venue, Bar",All Genres,N/A,19+,N/A,"They host live music and/or DJs up to 6 nights a week, Tuesday-Sunday. They also have a monthly jam session called ""Tapestry Jam,"" in which they bring together 4 musician that remain anonymous to each other until the show.",Requires Premium,N/A,https://www.instagram.com/tapestry_to,Dinosaur Politics; redhed,https://www.indieonthemove.com/venues/tapestry-toronto-ontario
Maxwell's Concerts and Events,Waterloo,ON,N2J 2V9,"35 University Avenue East, Waterloo, ON N2J 2V9",N/A,https://maxwellswaterloo.com/,"Music Venue, Rental",All Genres,700,N/A,N/A,"""Maxwell’s Concerts & Events is the most versatile event space in Waterloo Region. It’s located at 35 University Avenue East, seconds away from both Wilfrid Laurier University and University of Waterloo."" Shows can be held any night of the week. Age requirement can vary.",Requires Premium,https://www.facebook.com/maxwellswaterloo,https://www.instagram.com/maxwellswaterloo/,Michael Mathers - Eminem Tribute; Cam Kahin; Softcase; Born In The Eighties; Royal Tusk; John Shambles; Brother Elsey; Napalm Death; LANSDOWNE; Avalon Stone,https://www.indieonthemove.com/venues/maxwells-concerts-and-events-waterloo-ontario
Glenn Gould Studio,Toronto,ON,M5V 3G5,"250 Front Street West, Toronto, ON M5V 3G5",N/A,https://www.cbc.ca/glenngouldstudio/,"Music Venue, Rental","Classical, Jazz, Pop, Rock, World",337,N/A,N/A,"""We are a premier event rental, located in the heart of downtown Toronto at 250 Front Street West."" Shows can be held any night of the week.",Requires Premium,N/A,https://www.instagram.com/glenngouldcbc/,Alexis Baro,https://www.indieonthemove.com/venues/glenn-gould-studio-toronto-ontario
The Mod Club,Toronto,ON,M6G 1C4,"722 College Street, Toronto, ON M6G 1C4",N/A,https://www.themodclub.com/,Music Venue,All Genres,610,N/A,N/A,"Formerly The Axis Club Theatre. ""The Mod Club is located at the northwest corner of College and Crawford Streets in Toronto’s bustling Little Italy."" Shows can be held any night of the week. Age requirement can vary.",Requires Premium,N/A,https://www.instagram.com/themodclub/,Broadway Rave; Pile; mclusky; yung kai; yung kai; The Veldt; The Chameleons; Concrete Boys; Concrete Boys; Lexa Gates,https://www.indieonthemove.com/venues/the-mod-club-toronto-ontario
The 27 Club,Ottawa,ON,K1N 5S7,"27 York Street, Ottawa, ON K1N 5S7",N/A,N/A,"Music Venue, Night Club",All Genres,N/A,19+,N/A,"""Live music acts, dance floor, themed nights - your downtown Ottawa nightclub."" They host events Monday - Saturday nights.",Requires Premium,https://www.facebook.com/the27clubottawa/,https://www.instagram.com/27club_ottawa/,Felix Cartal; Witchz; Magugu; Amos the Transparent; The Casualties; The Drowns; The OBGMs; The Effens; Lowertown; Bleeker,https://www.indieonthemove.com/venues/the-27-club-ottawa-ontario
Crazy Horse Stonegrill Steakhouse & Saloon,Ottawa,ON,K2T 1G7,"115 Roland Michener Drive, Ottawa, ON K2T 1G7",N/A,https://www.thecrazyhorse.ca/,"Bar, Restaurant, Music Venue","All Genres, Alternative, Classic Rock, Country, Rock",N/A,19+,N/A,"""Ottawa's only Stonegrill Steakhouse -- experience 'lava rock' dining while enjoying the best talent from Nashville, Halifax, Toronto & Ottawa!!"" They host live music every Friday and Saturday night.",Requires Premium,https://www.facebook.com/CrazyHorseStonegrill/,https://www.instagram.com/barcrazyhorse/,N/A,https://www.indieonthemove.com/venues/crazy-horse-stonegrill-steakhouse-saloon-ottawa-ontario
Barnstorm,Finch,ON,K0C 1K0,"15328 Concession 3-4 Road, Finch, ON K0C 1K0",N/A,https://barnstorm.info/,Music Festival,All Genres,N/A,N/A,N/A,"**On hold in 2026.""Once a year, usually the first Saturday before Labour Day Weekend, our 150-year-old barn, the “Odditorium”, located at “The Sanctuary” in Finch, Ontario, comes to life with friends, locals, and music lovers at Barnstorm.""",Requires Premium,https://www.facebook.com/profile.php?id=100044267302581,N/A,N/A,https://www.indieonthemove.com/venues/barnstorm-finch-ontario
The Barn,Alexandria,ON,K0C 1A0,"20990 Glen Robertson Road, Alexandria, ON K0C 1A0",N/A,N/A,Music Venue,"Blues, Chamber, Classic Rock, Country, Dance, Pop, Reggae, Rock",N/A,N/A,N/A,"""The Barn, originally constructed in 1908, is an awesome Live Music Venue located in Glengarry County."" They host Blues music on Tuesday nights and other concerts typically during the weekend.",Requires Premium,https://www.facebook.com/profile.php?id=100064917728137,N/A,N/A,https://www.indieonthemove.com/venues/the-barn-alexandria-ontario
Lavigne Tavern,Lavigne,ON,P0H 1R0,"10521 Ontario 64, Lavigne, ON P0H 1R0",N/A,https://lavignetavern.com/,"Music Venue, Pub, Open Mic","All Genres, Acoustic, Blues, Classic Rock, Country, Funk, Metal, R&B, Rock, Singer-Songwriter, Soft Rock, Soul, Top 40",80,19+,N/A,"""Home of the best Wings in West Nipissing, and the finest Pizza North of Toronto. The Lavigne Tavern also presents the very best in live entertainment. With artists coming from all over North America to perform at this Oasis in the North."" They host live music Thursday-Saturday nights and on Sunday afternoons with Thursdays being reserved for open mic.",Requires Premium,https://www.facebook.com/LavigneTavern/,https://www.instagram.com/lavigne_tavern/,N/A,https://www.indieonthemove.com/venues/lavigne-tavern-lavigne-ontario
Knox Hall,Greater Sudbury,ON,P3E 1B8,"73 Larch Street, Greater Sudbury, ON P3E 1B8",N/A,https://www.knox.vip/,"Rental, Music Venue",All Genres,324,N/A,N/A,"""This beautiful venue is located in Downtown Sudbury housed in a Historical Building constructed as a Church in 1927. With a seating capacity of 324 including VIP Balcony Seats, your experience will be like no other in Northern Ontario. The venue also includes an 80 Seat Lower Lounge with optional 125 standing room."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/profile.php?id=100094239601038,https://www.instagram.com/knoxhallvip/,Kim Churchill; Mia Kelly; Jenn Grant; Aysanabee; Royal Wood; Fortunate Ones; Crystal Shawanda; At Dawn; Bobby Bazini; Mo Kenney,https://www.indieonthemove.com/venues/knox-hall-greater-sudbury-ontario
Jazz Sudbury,Greater Sudbury,ON,P3E 1C1,"96 Larch Street, Greater Sudbury, ON P3E 1C1",N/A,https://www.jazzsudbury.com/,Music Festival,Jazz,N/A,N/A,N/A,"""Since its inception in 2009, Jazz Sudbury Festival has become the premier musical event in the North. Jazz Sudbury showcases talented, award-winning artists and exposes the community to the diverse and captivating genre that is jazz."" The festival takes place in early September.",Requires Premium,https://www.facebook.com/JazzSudbury/,https://www.instagram.com/jazzsudburyofficial,N/A,https://www.indieonthemove.com/venues/jazz-sudbury-greater-sudbury-ontario
The Grand,Greater Sudbury,ON,P3C 5B4,"28 Elgin Street, Greater Sudbury, ON P3C 5B4",N/A,N/A,Music Venue,All Genres,1000,19+,N/A,"""Built in 1909, the over 100 year old dual auditorium theatre, has been transformed into the home of Sudbury's nightlife."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/Grandnightclub/,https://www.instagram.com/thegrandsudbury/,Strung Out; Tom Green; Alestorm; Twilight Force; greyhawk,https://www.indieonthemove.com/venues/the-grand-greater-sudbury-ontario
The National,Greater Sudbury,ON,P3C 2X1,"477 Notre Dame Avenue, Greater Sudbury, ON P3C 2X1",N/A,https://nationaltavern.ca/,"Bar, Music Venue","Country, Honky Tonk",N/A,19+,N/A,"""A blast from the past, returning to its roots as the country bar we all know and love."" They host live music on the weekends [Saturdays and Sundays].",Requires Premium,https://www.facebook.com/profile.php?id=61555155915765,N/A,N/A,https://www.indieonthemove.com/venues/the-national-greater-sudbury-ontario
Lounge 390,Greater Sudbury,ON,P3B 1B1,"390 Elgin Street, Greater Sudbury, ON P3B 1B1",N/A,N/A,"Bar, Music Venue, Lounge","All Genres, Acoustic, Alternative, Classic Rock, Country, Indie, Rock, Singer-Songwriter",N/A,19+,N/A,"""The best bar and live music venue in the heart of Sudbury, Ontario."" They host live music Wednesday-Saturday nights.",Requires Premium,N/A,https://www.instagram.com/lounge_390/,Phantom Radio Chatter; Ace of Wands; Fortunate Losers; Sam Singer; Iron Kingdom; Skrizzly Adams,https://www.indieonthemove.com/venues/lounge-390-greater-sudbury-ontario
M.I.C. Canadian Eatery & Whisky Pub,Greater Sudbury,ON,P3A 5K4,"200 Falconbridge Road, Greater Sudbury, ON P3A 5K4",N/A,https://micrestaurant.ca/,"Bar, Restaurant, Music Venue, Outdoor Performance Space, Seasonal","Acoustic, Singer-Songwriter",N/A,N/A,N/A,"""Casual place decorated with photos of Canadian icons, offering a long whisky list & comfort food."" Shows take place outside on their patio every Wednesday, June - August.",Requires Premium,https://www.facebook.com/micsudbury/,https://www.instagram.com/m.i.c.canadianeatery/,N/A,https://www.indieonthemove.com/venues/mic-canadian-eatery-whisky-pub-greater-sudbury-ontario
Overtime Sports Bar and Grill,Greater Sudbury,ON,P3A 2T7,"941 Notre Dame Avenue, Greater Sudbury, ON P3A 2T7",N/A,https://www.sudburysportsbar.com/,"Bar, Restaurant, Music Venue","Acoustic, Singer-Songwriter",N/A,N/A,N/A,"""Sudbury's BEST eating & drinking experience! Great atmosphere, great service & homemade food."" They host live music on Friday nights only. The venue becomes 19+ later in the evening.",Requires Premium,https://www.facebook.com/overtimesportsbarsudbury/,N/A,N/A,https://www.indieonthemove.com/venues/overtime-sports-bar-and-grill-greater-sudbury-ontario
About Live Music,Burk's Falls,ON,P0A 1C0,"60 Ontario Street Unit 1, Burk's Falls, ON P0A 1C0",N/A,https://www.aboutlivemusic.com/,Music Venue,"All Genres, Acoustic",N/A,N/A,N/A,"""About Live Music is an intimate music venue that provides a unique and personal experience for music lovers. The venue is designed to bring the audience in close, with a cozy and inviting atmosphere that encourages connection and engagement."" Shows are held at least once a month, Friday - Sunday.",Requires Premium,https://www.facebook.com/profile.php?id=100082537280964,https://www.instagram.com/aboutlivemusic/,N/A,https://www.indieonthemove.com/venues/about-live-music-burks-falls-ontario
Nickel City,Greater Sudbury,ON,P3C 1J2,"252 Hazel Street, Greater Sudbury, ON P3C 1J2",N/A,N/A,"Bar, Music Venue","Classic Rock, Country, Dance, Pop, Rock, Top 40",N/A,19+,N/A,"""Your favourite local sports bar, where you're only a stranger once. Come on down to enjoy pool, live music, and laughs all around."" They host shows on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/nickelcityinn/,N/A,N/A,https://www.indieonthemove.com/venues/nickel-city-greater-sudbury-ontario
YES Theatre,Greater Sudbury,ON,P3E 3E7,"170 Shaughnessy Street, Greater Sudbury, ON P3E 3E7",N/A,https://yestheatre.com/,"Music Venue, Rental",All Genres,289,N/A,N/A,"""YES Theatre produces live theatrical events. Of which includes concerts, musicals, plays and more."" Shows can be held any night of the week in either of their two venues: Sudbury Theater Centre and The Refettorio. Age requirements are event dependent.",Requires Premium,https://www.facebook.com/YESTheatre/,https://www.instagram.com/yestheatresudbury/,N/A,https://www.indieonthemove.com/venues/yes-theatre-greater-sudbury-ontario
The Night Owl,Greater Sudbury,ON,P3E 3N5,"158 Elgin Street, Greater Sudbury, ON P3E 3N5",N/A,https://www.nightowl.vip/,"Speakeasy, Music Venue, Jazz & Blues",Jazz,N/A,19+,N/A,"""The Downtown Sudbury Hideaway with a Certain Cachet."" They host live Jazz music every Thursday night.",Requires Premium,https://www.facebook.com/thenightowl.vip,https://www.instagram.com/nightowl.vip,N/A,https://www.indieonthemove.com/venues/the-night-owl-greater-sudbury-ontario
NV Music Hall,Thunder Bay,ON,P7B 1A6,"228 Red River Road, Thunder Bay, ON P7B 1A6",N/A,https://www.nvmusichall.com/,"Music Venue, Bar",All Genres,N/A,18+,N/A,"""NV Music Hall is downtown Thunder Bay's premium entertainment spot."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/NVMusicHall,N/A,N/A,https://www.indieonthemove.com/venues/nv-music-hall-thunder-bay-ontario
